Name,CNPJ,Portfolio Manager,Last_Assets_date
ATHENA TOTAL RETURN II FIC AÇÕES,23.186.344/0001-32,André Sarmento Vainer,2019-01-31 00:00:00
ATLAS ONE FIC AÇÕES,13.083.227/0001-90,Thomas de Mello e Souza,2019-01-31 00:00:00
AVANTGARDE CAPITAL FI MULTIMERCADO,22.588.975/0001-15,Luciano Boudjoukian França,2019-01-31 00:00:00
AWX EQUILIBRIUM FIC MULTIMERCADO,20.378.135/0001-00,Ivan Kraiser,2019-01-31 00:00:00
AZ QUEST AÇÕES FIC AÇÕES,07.279.657/0001-89,Alexandre Paixão Silvério,2019-01-31 00:00:00
AZ QUEST AZIMUT IMPACTO FIC MULTIMERCADO CRÉDITO PRIVADO,26.387.057/0001-89,Laurence Mello,2019-01-31 00:00:00
AZ QUEST EQUITY HEDGE FIC MULTIMERCADO,09.141.893/0001-60,Alexandre Paixão Silvério,2019-01-31 00:00:00
AZ QUEST LEGAN TERMO FI MULTIMERCADO,22.681.798/0001-17,Alexandre Paixão Silvério,2019-01-31 00:00:00
AZ QUEST LUCE FIC RENDA FIXA CRÉDITO PRIVADO LP,23.556.185/0001-10,Laurence Mello,2019-01-31 00:00:00
AZ QUEST MISTRAL FIC MULTIMERCADO CRÉDITO PRIVADO,23.720.500/0001-01,Laurence Mello,2019-01-31 00:00:00
AZ QUEST SMALL MID CAPS FIC AÇÕES,11.392.165/0001-72,Alexandre Paixão Silvério,2019-01-31 00:00:00
AZ QUEST TOP LONG BIASED FIC AÇÕES,13.974.750/0001-06,Alexandre Paixão Silvério,2019-01-31 00:00:00
AZ QUEST VALORE FI RENDA FIXA CRÉDITO PRIVADO,19.782.311/0001-88,Laurence Mello,2019-01-31 00:00:00
AZ QUEST YIELD FIC RENDA FIXA LP,16.599.968/0001-16,Sérgio Luiz da Silva,2019-01-31 00:00:00
AZUL QUANTITATIVO FI MULTIMERCADO,11.690.100/0001-03,Carlos Alberto Saraiva,2019-01-31 00:00:00
B3 MARGEM GARANTIA FIC RENDA FIXA REFERENCIADO DI,08.627.607/0001-08,Cícero Augusto Vieira Neto,2019-02-01 00:00:00
BAHIA AM FIC MULTIMERCADO,09.528.698/0001-97,Gustavo Barcelos Damasceno Daibert,2019-01-31 00:00:00
BAHIA AM FI RENDA FIXA REFERENCIADO DI,07.812.369/0001-48,Marcelo Mendes de Castro,2019-02-01 00:00:00
BAHIA AM LONG BIASED FIC MULTIMERCADO,23.732.231/0001-95,Gustavo Barcelos Damasceno Daibert,2019-01-31 00:00:00
BAHIA AM VALUATION FIC AÇÕES,09.635.172/0001-06,Gustavo Barcelos Damasceno Daibert,2019-01-31 00:00:00
BANESTES BTG PACTUAL ABSOLUTO INSTITUCIONAL FIC AÇÕES,08.018.849/0001-02,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES INSTITUCIONAL FI RENDA FIXA,05.357.507/0001-10,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES INVESTIDOR AUTOMÁTICO FI RENDA FIXA CURTO PRAZO,00.838.267/0001-52,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES INVEST MONEY FI RENDA FIXA,00.838.269/0001-41,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES LIQUIDEZ FI RENDA FIXA REFERENCIADO DI,20.230.719/0001-26,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES VALORES FIC RENDA FIXA REFERENCIADO DI,19.170.160/0001-07,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES VIP DI FIC RENDA FIXA REFERENCIADO DI,01.587.403/0001-41,Vitor Lopes Duarte,2019-01-31 00:00:00
BANESTES VITÓRIA 500 FIC RENDA FIXA REFERENCIADO DI,00.838.266/0001-08,Vitor Lopes Duarte,2019-01-31 00:00:00
BANPARA FIC RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LP,08.215.807/0001-53,Albano Franco,2019-02-01 00:00:00
BANPARÁ TRADICIONAL FIC MULTIMERCADO,00.857.361/0001-59,José Zitelmann Falcão Vieira,2019-01-31 00:00:00
BANRISUL ABSOLUTO FI RENDA FIXA LP,21.743.480/0001-50,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL AÇÕES FI AÇÕES,88.198.056/0001-43,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL AUTOMÁTICO FI RENDA FIXA CURTO PRAZO,01.353.260/0001-03,Roberto Balestrin,2019-02-01 00:00:00
BANRISUL DIVIDENDOS FI AÇÕES,10.199.934/0001-58,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FIC RENDA FIXA SIMPLES,23.863.573/0001-44,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FLEX FI RENDA FIXA CRÉDITO PRIVADO LP,08.960.978/0001-07,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FLEX PLUS FI RENDA FIXA CRÉDITO PRIVADO LP,16.844.934/0001-40,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FOCO FI RENDA FIXA REFERENCIADO IMA-B LP,16.844.890/0001-58,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FOCO IDKA IPCA 2A FI RENDA FIXA,21.007.180/0001-03,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FOCO IRF-M 1 FI RENDA FIXA,18.466.245/0001-74,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL FOCO IRF-M FI RENDA FIXA LP,16.844.885/0001-45,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL ÍNDICE FI AÇÕES,02.131.725/0001-44,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL INFRA-ESTRUTURA FI AÇÕES,02.131.724/0001-08,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL MASTER FI RENDA FIXA REFERENCIADO DI LP,01.822.655/0001-08,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL MIX FIC RENDA FIXA LP,08.960.570/0001-35,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL PERFIL FIC RENDA FIXA LP,08.960.557/0001-86,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL PERFORMANCE FI AÇÕES,97.261.093/0001-40,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL PREMIUM FI RENDA FIXA LP,08.960.971/0001-95,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL SOBERANO FI RENDA FIXA SIMPLES LP,11.311.874/0001-86,Roberto Balestrin,2019-01-31 00:00:00
BANRISUL SUPER FI RENDA FIXA,02.430.487/0001-78,Roberto Balestrin,2019-02-01 00:00:00
BANRISUL VIP FI RENDA FIXA LP,00.743.026/0001-20,Roberto Balestrin,2019-01-31 00:00:00
BB 200 MIL FIC RENDA FIXA REFERENCIADO DI LP,05.018.045/0001-07,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB 30 MIL FIC RENDA FIXA CURTO PRAZO,04.194.723/0001-20,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB 30 MIL FIC RENDA FIXA LP,00.766.542/0001-70,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB 30 MIL FIC RENDA FIXA REFERENCIADO DI LP,01.996.007/0001-78,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB 500 FIC RENDA FIXA,00.756.851/0001-69,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB 500 FIC RENDA FIXA REFERENCIADO DI,03.308.312/0001-55,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB 90 MIL FIC RENDA FIXA REFERENCIADO DI LP,04.061.548/0001-00,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB AÇÕES ALOCAÇÃO ETF FI AÇÕES,06.251.554/0001-48,Jorge Marino Ricca,2019-01-31 00:00:00
BB AÇÕES BB SEGURIDADE FI AÇÕES,17.593.934/0001-87,Jorge Marino Ricca,2019-01-31 00:00:00
BB AÇÕES EXPORTAÇÃO FIC AÇÕES,05.100.213/0001-09,Jorge Marino Ricca,2019-01-31 00:00:00
BB AÇÕES GLOBAIS FIC AÇÕES BDR NÍVEL I,22.632.237/0001-28,Jorge Marino Ricca,2019-01-31 00:00:00
BB AÇÕES ÍNDICE DE SUSTENTABILIDADE EMPRESARIAL JOVEM FIC AÇÕES,06.349.816/0001-01,Jorge Marino Ricca,2019-01-31 00:00:00
BB ARBITRAGEM ESTILO FIC MULTIMERCADO LP,06.015.361/0001-98,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB AUTOMÁTICO ESTILO FIC RENDA FIXA CURTO PRAZO,03.308.718/0001-38,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB AUTOMÁTICO FIC RENDA FIXA LP,68.599.141/0001-06,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB AUTOMÁTICO MAIS FIC RENDA FIXA CURTO PRAZO,05.102.500/0001-58,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB BALANCEADO DIVIDENDOS ESTILO FIC MULTIMERCADO LP,11.046.635/0001-46,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB CAMBIAL EURO MIL FIC CAMBIAL LP,05.075.837/0001-13,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB CIELO FI AÇÕES,10.869.628/0001-81,Jorge Marino Ricca,2019-01-31 00:00:00
BB CONSTRUÇÃO CIVIL FIC AÇÕES,09.648.050/0001-54,Jorge Marino Ricca,2019-01-31 00:00:00
BB CONSUMO FIC AÇÕES,08.973.942/0001-68,Jorge Marino Ricca,2019-01-31 00:00:00
BB DINÂMICO ESTILO FIC MULTIMERCADO LP,13.079.634/0001-23,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB DIVIDENDOS FIC AÇÕES,05.100.191/0001-87,Jorge Marino Ricca,2019-01-31 00:00:00
BB DIVIDENDOS MIDCAPS FIC AÇÕES,14.213.331/0001-14,Jorge Marino Ricca,2019-01-31 00:00:00
BB DÓLAR 100 MIL FIC CAMBIAL LP,04.061.044/0001-82,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB DÓLAR 20 MIL FIC CAMBIAL LP,00.822.063/0001-23,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB DÓLAR ESTILO FIC CAMBIAL LP,04.128.893/0001-06,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB DÓLAR MIL FIC CAMBIAL LP,03.033.971/0001-26,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB ENERGIA FI AÇÕES,02.020.528/0001-58,Jorge Marino Ricca,2019-01-31 00:00:00
BB ESTILO INDEXADO IBOVESPA FIC AÇÕES,09.005.823/0001-84,Jorge Marino Ricca,2019-01-31 00:00:00
BB ESTILO INDEXADO IBRX FIC AÇÕES,09.004.364/0001-14,Jorge Marino Ricca,2019-01-31 00:00:00
BB ESTILO ÍNDICE DE PREÇO FIC RENDA FIXA LP,08.980.715/0001-60,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB ESTILO PRÉ FIC RENDA FIXA LP,08.080.680/0001-02,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB EURO ESTILO FIC CAMBIAL LP,04.305.193/0001-40,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB EXCLUSIVE 3 FIC RENDA FIXA LP,02.998.773/0001-34,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB FI AÇÕES,09.134.614/0001-30,Jorge Marino Ricca,2019-01-31 00:00:00
BB FI RENDA FIXA SIMPLES,22.051.699/0001-51,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB IBOVESPA ATIVO FIC AÇÕES,00.822.059/0001-65,Jorge Marino Ricca,2019-01-31 00:00:00
BB INDEXADO IBOVESPA FIC AÇÕES,73.899.759/0001-21,Jorge Marino Ricca,2019-01-31 00:00:00
BB INDEXADO IBRX FIC AÇÕES,30.847.180/0001-02,Jorge Marino Ricca,2019-01-31 00:00:00
BB ÍNDICE DE PREÇO FIC RENDA FIXA LP,02.297.087/0001-36,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB INFRAESTRUTURA FIC AÇÕES,11.328.904/0001-67,Jorge Marino Ricca,2019-01-31 00:00:00
BB JUROS E MOEDAS ESTILO FIC MULTIMERCADO LP,06.015.368/0001-00,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB MACRO 200 FIC MULTIMERCADO LP,01.394.744/0001-09,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB MACRO ESTILO FIC MULTIMERCADO LP,05.962.491/0001-75,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB MIL FI RENDA FIXA DÍVIDA EXTERNA,00.360.293/0001-18,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB MULTIESTRATÉGIA ESTILO FIC MULTIMERCADO LP,13.322.192/0001-02,Marcelo Marques Pacheco,2019-01-31 00:00:00
BB MULTI SETORIAL QUANTITATIVO FIC AÇÕES,07.882.792/0001-14,Jorge Marino Ricca,2019-01-31 00:00:00
BB NOSSA CAIXA PRINCIPAL FIC RENDA FIXA REFERENCIADO DI LP,00.829.364/0001-89,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB PARCERIA 10 MIL FIC RENDA FIXA LP,07.861.571/0001-60,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB PLUS ESTILO FIC RENDA FIXA LP,05.949.025/0001-50,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB PLUS ESTILO FIC RENDA FIXA REFERENCIADO DI,05.943.661/0001-74,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB PREMIUM ESTILO FIC RENDA FIXA LP,04.160.217/0001-10,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB PREMIUM ESTILO FIC RENDA FIXA REFERENCIADO DI LP,10.304.401/0001-99,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB RETORNO TOTAL ESTILO FIC AÇÕES,09.005.805/0001-00,Jorge Marino Ricca,2019-01-31 00:00:00
BB SETOR FINANCEIRO FIC AÇÕES,08.973.948/0001-35,Jorge Marino Ricca,2019-01-31 00:00:00
BB SMALL CAPS FIC AÇÕES,05.100.221/0001-55,Jorge Marino Ricca,2019-01-31 00:00:00
BB SOCIAL 50 FIC RENDA FIXA REFERENCIADO DI,05.080.623/0001-35,Flávio Mattos Gonçalves de Almeida,2019-02-01 00:00:00
BB TECNOLOGIA FI AÇÕES,01.578.474/0001-88,Jorge Marino Ricca,2019-01-31 00:00:00
BBT FI AÇÕES,16.617.593/0001-70,Raphael Bussolan Juan,2019-01-31 00:00:00
BBT FI MULTIMERCADO,16.570.371/0001-49,Raphael Bussolan Juan,2019-01-31 00:00:00
BB VALE FI AÇÕES,04.881.682/0001-40,Jorge Marino Ricca,2019-01-31 00:00:00
BB VIP ESTILO FIC RENDA FIXA LP,03.033.983/0001-50,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BB VIP ESTILO FIC RENDA FIXA REFERENCIADO DI LP,04.061.224/0001-64,Flávio Mattos Gonçalves de Almeida,2019-01-31 00:00:00
BECMAXI FI RENDA FIXA,00.825.077/0001-09,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BECSUPER FI RENDA FIXA REFERENCIADO DI,01.624.111/0001-31,Ricardo Pereira de Almeida,2019-02-01 00:00:00
BELVEDERE MATISSE FI MULTIMERCADO CRÉDITO PRIVADO,08.815.380/0001-24,Luis Frederico Palhares de Miranda,2019-01-31 00:00:00
BELVEDERE RENOIR FI AÇÕES,04.812.385/0001-42,Luis Frederico Palhares de Miranda,2019-01-31 00:00:00
BNB AUTOMÁTICO FI RENDA FIXA CURTO PRAZO,00.812.433/0001-41,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB CLÁSSICO FIC RENDA FIXA REFERENCIADO DI,07.371.945/0001-69,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB CONTA RESERVA FIC RENDA FIXA REFERENCIADO DI,19.320.686/0001-26,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB ESPECIAL FIC RENDA FIXA REFERENCIADO DI,03.772.955/0001-55,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB ESSENCIAL FIC RENDA FIXA REFERENCIADO DI,19.273.198/0001-05,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB FI MULTIMERCADO LP,06.124.248/0001-40,Jose Max Araujo Bezerra,2019-01-31 00:00:00
BNB INSTITUCIONAL FIC RENDA FIXA REFERENCIADO DI,21.307.581/0001-89,Jose Max Araujo Bezerra,2019-02-01 00:00:00
BNB MAIS FIC RENDA FIXA LP,11.074.758/0001-90,Jose Max Araujo Bezerra,2019-01-31 00:00:00
BNB MÁXIMO FIC RENDA FIXA LP,06.124.253/0001-53,Jose Max Araujo Bezerra,2019-01-31 00:00:00
BNB PLUS FIC RENDA FIXA LP,06.124.241/0001-29,Jose Max Araujo Bezerra,2019-01-31 00:00:00
BNB SELEÇÃO FI AÇÕES,63.375.216/0001-51,Jose Max Araujo Bezerra,2019-01-31 00:00:00
BNP PARIBAS ACE IBRX FIC AÇÕES,04.362.333/0001-11,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS ACTION FIC AÇÕES,12.239.939/0001-92,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS ACTION MASTER FI AÇÕES,12.241.282/0001-06,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO FIC MULTIMERCADO,13.547.640/0001-68,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO GLOBAL FIC MULTIMERCADO,13.207.280/0001-55,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO II FIC MULTIMERCADO,09.518.558/0001-38,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO III FIC MULTIMERCADO,08.708.395/0001-93,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO IV FIC MULTIMERCADO,10.216.972/0001-71,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO IX FIC MULTIMERCADO,18.386.802/0001-47,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO V FIC MULTIMERCADO,10.985.527/0001-76,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO VI FIC MULTIMERCADO,14.543.978/0001-04,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO VIII FIC MULTIMERCADO,14.825.026/0001-83,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO X FIC MULTIMERCADO,18.820.151/0001-51,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO XI FIC MULTIMERCADO,19.599.340/0001-09,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO XII FIC MULTIMERCADO,20.283.162/0001-91,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO XIII FIC MULTIMERCADO,20.658.901/0001-82,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO XIV FIC MULTIMERCADO,12.144.323/0001-38,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS CAPITAL PROTEGIDO XV FIC MULTIMERCADO,12.766.395/0001-17,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS DEBÊNTURES INCENTIVADAS DE INFRAESTRUTURA FI MULTIMERCADO CRÉDITO PRIVADO,25.108.905/0001-00,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS EXCELLENT FIC RENDA FIXA REFERENCIADO DI,07.657.626/0001-14,Gilberto Kfouri Junior,2019-02-01 00:00:00
BNP PARIBAS INFLAÇÃO FIC RENDA FIXA,05.104.498/0001-56,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS LONG AND SHORT FI MULTIMERCADO,08.823.534/0001-20,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS MATCH FI RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO,09.636.393/0001-07,Gilberto Kfouri Junior,2019-02-01 00:00:00
BNP PARIBAS PERFORMANCE FIC MULTIMERCADO,23.379.114/0001-90,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS PERFORMANCE INFLAÇÃO II FIC MULTIMERCADO,23.379.033/0001-90,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS PRIME FIC RENDA FIXA REFERENCIADO DI,07.657.408/0001-80,Gilberto Kfouri Junior,2019-02-01 00:00:00
BNP PARIBAS RF FI RENDA FIXA,02.539.921/0001-52,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS RUBI FIC RENDA FIXA CRÉDITO PRIVADO,21.185.984/0001-00,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS SKY FI MULTIMERCADO,22.809.001/0001-14,Gilberto Kfouri Junior,2019-01-31 00:00:00
BNP PARIBAS SMALL CAPS FI AÇÕES,11.108.013/0001-03,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS SMALL CAPS GOLD FI AÇÕES,08.576.294/0001-06,Frederico Augusto Tralli,2019-01-31 00:00:00
BNP PARIBAS SOBERANO FIC RENDA FIXA SIMPLES,09.636.619/0001-61,Gilberto Kfouri Junior,2019-02-01 00:00:00
BNP PARIBAS TARGUS FIC RENDA FIXA CRÉDITO PRIVADO,05.862.906/0001-39,Gilberto Kfouri Junior,2019-02-01 00:00:00
BNP PARIBAS TOPÁZIO FIC RENDA FIXA CRÉDITO PRIVADO,18.990.337/0001-59,Gilberto Kfouri Junior,2019-02-01 00:00:00
